RegionID,SizeRank,RegionName,RegionType,StateName,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31
9,0,California,state,,436550.20921341300,442278.52628623500,448749.9953328880,453578.7825729460,456741.6607358450,459552.70245400900,460652.0045803100,460441.7612322390,458890.74025808500,458393.051967873,459286.8977823880,461859.6214425480,466904.14105959600,473576.25638964600,480782.69791335400,486701.3517259710,491092.81855289100,494914.68027656500,496813.5240337470,498455.0020075170,500160.10248204200,503761.2759733270,507725.6972002030,512376.1792919270,517597.83416192700,523272.3304135370,528362.3002554090,532518.026985974,536400.1786560510,539632.3645477410,542528.7037775360,545641.7590376740,549177.11625632,553063.953968156,555884.3041593270,557540.8216772220,557124.4162649090,555547.0915002210,553860.2014325200,553047.9318453900,552686.7488288130,552576.5503134330,553308.1996954740,555348.0440132430,558331.7492355590,561776.8480465810,565526.1862896460,569328.7141065060,572334.6167409120,574742.7164349850,577109.1306238300,579370.7119153960,579799.4607939650,578773.7777451110,579122.9566676260,583421.8276713850,592126.0635731050,603008.5751858000,615269.6003134410,627333.5131722290,637325.8824148890,645788.5058124760,653325.7159671510,662698.9597909500,673660.1257950770,685188.1131265950,695777.8027948330,703000.6401552330,707870.2756756790,712132.0482525030,718007.6965684890,725297.6503353260,735725.6706930320,749298.4223160860,765836.5379418700,780870.5772408410,792181.3762773970,798165.9009542320,798372.8660734620,793279.5868929320,785259.1559025590,778125.4560002920,772533.8306942160,766923.6601756870,759269.2979220250,752680.3211012500,749720.35767021,750900.5579628210,754948.7605671050
54,1,Texas,state,,170444.51450711200,171674.24579822900,172579.68754909900,173452.09298643700,174313.24278867900,175329.86399254400,176183.96943527800,177017.21860055000,177974.1236754620,179022.03575372400,180191.4639712200,181319.55153196800,182410.3542453380,183381.70383131800,184407.32355817000,185565.88319605200,186619.4402834630,187578.53283684100,188328.42093039900,189122.5099753240,189929.13447684200,190885.09777829600,191921.10335726700,193060.72827138900,194179.4703101480,195188.68108276300,196334.95449015800,197385.89112008300,198481.40454642000,199334.97578003200,200337.33385213800,201255.3522395680,202160.27838500300,202862.29819790800,203655.75980169300,204535.53693278800,205425.29474534200,206230.083612101,206953.16210807500,207565.03643258400,208104.7037309720,208613.46114982100,209152.0017637730,209804.78662725700,210510.09906406000,211425.9004567540,212490.193276766,213643.36028232000,214839.22633089600,216019.4136477560,217198.43141174500,218048.34066855400,218380.330222667,218586.63220493800,219288.7609476760,220742.59153746700,222905.34047990000,225323.48184496300,228082.53659876700,230770.22890239500,233643.4190727250,236736.17346144200,240234.53231311300,244080.77780034600,248468.10675283400,253159.82131400300,257615.0566629930,261163.79651407500,263884.3755656780,266568.51877724500,269897.56392321700,273674.7362383340,278549.0673648090,283923.5482847980,289980.5643741870,295896.58849094800,301374.84235575000,306167.2089908320,309066.78285757200,309964.15220519400,309262.88531690900,308286.51467817300,307269.40164939000,305695.45934527900,304346.3599311020,303498.37952782700,303757.3476702670,303876.99886081300,304261.349823917
14,2,Florida,state,,198431.67676253600,199924.28969364900,201271.61618168200,202682.89057012700,204119.35548868300,205666.40413146100,207051.14462487100,208464.43957460700,210055.77814177900,211784.01967417300,213364.06768980900,214702.32945877900,215924.24362808200,217308.34975902300,218906.97157676500,220607.566515866,222121.89397351400,223662.9086518220,225100.06769921600,226672.48112737300,228206.66641057800,229851.29152282900,231536.23343071900,233282.12731075400,234867.00713279500,236266.49081867300,237670.6897304900,239067.32276801300,240529.18046976300,241795.73182829200,243349.89843280200,244881.39600653300,246421.5095444910,247721.06272467400,249070.22357745800,250509.447894584,251788.3917647680,252956.55255718600,253774.1487964310,254407.07843183600,254778.83607995400,255277.02946293000,255900.76200004100,256726.15661225000,257550.1321108340,258626.93651743200,260074.65959583200,261841.29868487400,263948.8641565090,265976.98204909600,267807.2106290530,269005.7225601660,269456.1000152210,269767.3864044510,270564.06427984900,272440.1741116500,275356.79572480400,278749.0398807050,282659.6684161890,286533.5897808220,290659.6871411000,294863.99339957600,299301.1384564540,304073.98103359200,309578.6416206870,316124.25664807700,322722.71054805200,328607.5671152230,333422.1394221310,338172.9055979950,343511.2502866490,349292.6477311030,356660.79427248000,365286.8535711400,375330.6777170140,385359.50879759700,394587.7697589700,402528.9522409920,407905.08941263500,410496.1079616500,410584.73150015800,409851.2582924380,408868.7409094640,407144.6878065800,405299.9701767530,403861.6624522290,403845.66246005600,404258.5096061820,405273.6712907550
43,3,New York,state,,238422.47911553400,239261.58946983100,239708.70084341200,240285.32723962000,241012.5688317290,242109.95616627700,242949.12233161000,243565.67521675700,244074.36290878300,244802.8209677870,245902.74251839000,247395.3583944730,248833.75903090800,250101.4598152410,251124.05433411100,252498.56492007900,253888.05794871400,255230.19253280800,256381.83202211200,257625.17946628300,258918.3590449380,260301.039547713,261419.80482247300,262281.47719944300,262647.6797998570,262696.0114828330,263347.14455731900,264611.1108867620,266821.73689575500,269056.2152021840,271607.26531080200,273936.3673499280,275926.6067461930,277201.93544200900,278190.8485048510,279045.5152251780,280424.78933180200,282203.44284848700,284303.88279197000,286088.13773959500,287313.52519706800,288549.72500917100,289788.6762549190,291223.80080924200,292261.1807448360,293339.81216567500,294677.10282088700,296257.0822027470,298130.171409041,299945.1075620740,301780.610548754,303396.6300558780,304605.8682477810,305393.3291779370,306166.7038203990,307628.10728917300,310517.7767805090,314487.92306411800,319396.92341267800,324654.14567759100,329662.1942201350,334719.42657001600,339368.32981158500,343950.22264276900,348744.3345900740,353853.2549845860,358397.80694002600,361517.7258983970,363254.47564679400,364946.0239313710,367170.52223755100,369871.94519945,373479.13864655800,377747.43408709000,383088.5734016090,388751.87345002200,394355.74329236500,399837.6099307190,403845.77292843600,405785.9698770010,405528.9042784610,404709.4080196460,403922.91414263900,402660.4270765330,402600.85209302400,403581.5724638280,406386.71797977100,408839.8084796700,411284.658656053
47,4,Pennsylvania,state,,156296.48593849000,156834.51157728800,156902.85080061000,156906.92061644500,157114.00440204200,157624.80376342100,158045.237491562,158470.27551736300,159007.81770110500,159676.16666457800,160293.70802758500,160989.57722313000,161607.56455020600,162164.0039187600,162624.39288176700,163166.89654087800,163750.83603910100,164348.73468220500,164965.12777525800,165628.530401892,166352.89886823600,167204.52587189700,168181.64705428900,169150.4920500180,170035.0405443180,170820.0190599690,171892.20033354100,172916.4664595260,173756.4146585870,174235.1025766120,174708.59957212000,175231.86907350300,175722.9350101520,176034.35206043000,176374.48900234400,176804.4515105700,177524.7744555310,178562.82898169900,179635.2054718120,180505.2879751380,181086.6458417340,181730.7470486770,182469.97149008400,183267.36104897300,184005.27209935900,184907.59786816900,186022.92615732700,187229.82458558300,188396.00588698300,189655.48310887400,191025.3011822890,192549.09650359700,193523.76037223400,194068.911786478,194636.04088155400,195936.86140549500,198313.57170534200,201179.6839063340,204541.30491690900,207712.09284642100,210659.73557880700,213530.39410917900,216470.4859943780,219451.7448598850,222432.13406428600,225569.4648192270,227836.4933239800,228712.84474083500,227960.01462412900,227379.98846526900,227558.53453494500,228634.99410970600,231220.64471075500,234969.21123022500,239624.62338871400,243791.97563157000,246988.03555011900,249458.2322241850,250452.82348227300,250354.505271503,249503.1609614430,249317.82669384500,249630.02007152800,249923.7561375410,250473.05551318500,251142.00341283400,252439.35406024200,253514.89851439700,255066.8240030720
21,5,Illinois,state,,159584.51626414100,160501.20615744900,161134.23606274700,161700.78885680600,162262.9137724710,162944.20443622000,163314.1179884560,163617.3618405460,163888.4759730080,164495.3812099180,165191.33501091100,166139.5983926970,167120.88865416600,168229.22429389800,169427.92826680000,170422.21925683900,171164.4514629570,171462.13155315300,171671.64085429700,171915.32815721300,172566.80038043900,173455.17207706600,174550.10730010700,175649.76660769900,176831.77243190100,177875.85092921100,179059.57719084400,179916.46665572500,180616.28687726000,180690.78484424500,180863.16390196200,180861.13968403800,181061.76643410100,181130.53868042800,181419.37437595300,181918.95758907700,182821.93494797000,184092.5449303590,185322.86427545100,186280.9661503720,186738.04177876200,187001.82887460500,186989.61750497000,187024.20702432,186916.58856950800,187097.97977612800,187507.2168876750,188234.0848044460,189281.9223738550,190576.92523662700,191934.04415054600,193037.80106200500,193436.74208992600,193419.7760016910,193420.47797075400,194172.99526711300,196016.12071706700,198420.09001328300,201253.07864767100,203938.02530309800,206607.1540027920,209428.1474586350,212276.66706999000,215018.18047449400,217557.3543643280,220213.31704880100,222590.19903999200,224215.08874527600,224871.85471088400,225487.55555194600,226627.35102957000,228474.8963862490,231413.7016241850,235309.07231017300,239945.63451435300,244234.39036768200,247200.59852565200,249254.77916548300,249784.4256611410,249362.0430078530,248010.20083522500,247130.56971255900,246648.66503289200,246236.6331608530,246669.750485908,247689.84210472300,249316.38075970000,250471.43174550000,251917.3663559370
44,6,Ohio,state,,124525.7402826540,125382.57115313100,125936.06005998800,126286.14333006500,126535.8028801340,126963.04378671500,127249.05827780600,127541.00361856000,127893.23103192600,128437.46878626500,129019.75646366900,129642.44800685700,130228.78731477700,130752.0666302020,131280.8704208330,131884.90422676900,132505.22319861300,133128.03022621300,133766.31080740700,134443.90284900600,135059.72602902700,135707.8109517920,136458.05407557200,137235.59454980400,137905.5529801610,138475.19681051400,139268.90184212300,140092.31878512400,140953.3612644630,141543.65381990600,142215.88011981300,142863.60994294900,143632.67889628500,144256.26190392100,145009.3688862470,145762.99543923100,146676.01920866700,147727.9306757060,148824.6247709130,149687.9538484630,150248.6295165250,150779.11289942300,151353.26948712200,151896.93442161100,152353.24543697300,152956.66168051600,153811.1644344880,154738.41969568300,155801.34743273100,156937.7678071540,158205.87454556900,159347.07206264800,160110.54804638900,160688.60499200000,161502.85556592200,163004.9761498430,165282.6189297030,168027.60466409200,171016.1009424220,173806.91181007100,176305.93319689400,178696.44294988700,181151.18643002900,183730.9866635100,186397.3257595170,189115.56576504300,190961.54455317100,191484.59048599400,190870.79176707700,190483.52723833800,190822.5269791770,191671.52014511600,193935.65735776600,197314.66370538200,201473.94188938800,205286.91702107100,208345.61009152800,211097.57050330600,212651.67393338000,213266.29527053100,212962.56959567800,212775.20409299600,212762.80240511900,212828.01729126700,213240.86558519900,213905.48356786200,215120.331635939,216345.84179290800,218045.30892338100
16,7,Georgia,state,,154634.35584829100,155668.46333571300,156410.85085134800,157161.70484825600,157901.07203461200,158685.22826189100,159133.91086834200,159515.46472165900,160058.2589344530,160850.65576615700,161807.22415117500,162832.95857602000,163838.2191989840,164907.83519074800,165991.07140196900,167107.34019291300,168060.16874987000,168943.31494268600,169884.9893818530,170895.1427031790,171987.63466710800,173151.53502979300,174518.64412894100,176081.90887728500,177635.7323876280,179107.96327707600,180584.55723445500,181905.7565899790,183180.5174813140,184181.59189097100,185448.47557146800,186741.04797858500,188253.69514813800,189522.87963133200,190883.4761061920,192273.711482547,193737.94006633200,195074.43486380800,196264.35834665300,197285.40302545200,198149.28398355900,198924.8039804000,199714.18317104900,200623.74115739700,201467.03507085000,202500.63400203000,203740.61649332200,205247.16201788300,206917.1762812580,208617.14232907100,210263.2858682620,211574.97193650100,212258.96752100300,212722.47686901200,213542.91618173300,215298.38418747300,218055.47929972900,221441.27768051700,225250.66024736600,229062.82732882700,232936.8758975260,237006.60058516700,241270.9991511880,245693.21486936600,250434.347794458,255555.7809957230,260192.79602548600,263842.76274935800,266698.49233218700,270012.71241221100,274210.89665784400,279006.39574079200,285240.0686411520,292258.7423020230,299670.8960727710,306354.6339281070,312010.81881068700,316900.484975737,319821.9815423690,320989.4671954600,320611.01546164000,319918.0903088040,319007.4247027070,317712.4456219480,316882.56928182900,316542.0030019210,317304.5459542500,317932.93286931900,319128.10496603900
36,8,North Carolina,state,,164314.89965654400,165317.90662078200,165962.67192191400,166489.55005349300,166969.71563373100,167639.81504538300,168213.40012682600,168961.884797858,169877.10970938100,170988.9417853660,172078.6062818830,173122.83857367000,174001.18987708000,174743.42217286800,175415.17356345700,176290.54066113700,177168.73541268300,178101.73910358800,178979.5020789560,179938.01292266600,180894.48762104700,181930.18726932700,183115.78415443100,184365.63201639300,185598.09463634600,186744.9412590990,188001.38382656200,189110.1196614290,190153.2100267490,191010.10701287500,192023.8642301930,193050.61799013900,194124.78394759500,195034.995375563,196050.83191495300,197124.34404815300,198332.1471587620,199491.95627403500,200699.6192252830,201781.09581999000,202705.3557975860,203480.5672603000,204262.88546304300,205137.66613436300,205969.8168458100,207052.41182112900,208407.5688790940,209905.0274537680,211400.712084783,212926.30268326300,214630.38136672600,216180.78943805600,217190.45319828300,217923.77880543200,218993.09917510800,220975.7299890750,223939.07079796900,227446.04995274000,231235.3106702520,235015.9741665830,238711.71176711400,242585.7842122260,246550.1861223390,250763.60310434400,255408.70356524800,260606.87722538300,265362.1697265770,268795.2289786470,270956.57232397000,273014.23321492500,275768.69051547500,278911.51494616700,283873.97442943500,290199.5960699240,297942.8587834120,305585.5582395850,312501.5997000500,318517.3106543970,322278.87286825700,323867.1558898940,323610.1596346090,323075.0311651800,322408.01633593400,321356.0813297730,320776.8317379150,320907.1415889300,322387.1936655640,323730.5219459750,325573.0346562830
30,9,Michigan,state,,121652.79725774500,122529.05632527600,123131.76461325000,123762.17658362000,124486.88666533200,125439.8816639300,126074.20566934400,126667.45124256300,127260.96288001700,128033.51142253800,128889.77819824300,129852.45074578600,130863.67650779400,131846.74837233100,132834.69749715100,133787.0472784910,134722.21065734000,135631.5641900760,136589.4695083120,137423.76080055600,138186.28582522400,138894.97918404800,139780.54265557600,140723.61502724900,141792.10668234600,142815.23299396700,144156.20507356200,145396.3831086020,146673.84365894600,147580.24142628500,148664.4378599400,149442.99793521900,150176.7093826320,150380.013107262,150853.80160401100,151563.9308520900,152753.02348100200,154159.39767314000,155651.91365681800,157012.62742068100,158109.64185234000,158961.25099506500,159449.7789566170,159718.27370097100,159859.8972479110,160432.91887840800,161312.07096779000,162206.7078731460,163238.84536042800,164586.8735886810,166218.71716778600,167727.34873506900,168525.8623327790,168844.1275427790,169122.01226807900,170060.9842271650,172096.10304063700,174604.1172967840,177463.99832113300,180074.42129072000,182869.04410113600,185986.81341866200,189294.68642202900,192600.4108937890,195920.5795906930,199337.6232614720,201830.29994745600,202795.76884901000,202411.0763372020,201994.6147835280,202239.25279036400,203022.32946319700,205335.3781872930,208996.40586589100,213630.67650692900,217958.40102272200,221110.14204099100,223408.10305373000,223921.76194290400,223251.92574944400,221765.89957692900,220787.02824168000,220081.74103364200,219547.23410248300,220395.47783544500,221940.52367920300,224169.17407809200,225420.09781062600,226906.9386879720
40,10,New Jersey,state,,298836.1548134910,299582.6014885240,299844.45044051500,300245.9663446960,300870.78687415000,301821.23940322100,302584.40695221800,303141.6687988900,303458.6100212540,303854.2734386870,304382.878260371,305478.521405662,306536.34040818600,307670.52697217100,308582.8315731770,309972.4699914880,311549.37045912900,313208.7626736590,314423.74742201100,315309.6063938970,316181.76603055200,317286.0249943620,318655.55189150900,319906.25448704500,321103.95952048700,322162.8938993470,323633.69918220000,325059.54661049800,326588.8248233750,327930.239243164,329570.80112400300,330961.99275047200,331944.1542289610,332415.19891283200,333148.6107080120,334072.69501951300,335261.4147046590,336687.56607502500,338579.1651884660,340726.0895387770,342402.87609218400,343631.3489792470,344291.50076798800,344862.6044359350,345211.3838803230,345993.3095796700,347419.2658227310,349230.8148359130,351403.36064247700,353406.73010011200,355874.3559594730,358294.27685531700,360083.8068825660,360732.2080660010,360850.6817936220,362165.6639358910,365773.3820103560,371051.48946689300,377271.25145305200,383715.2637496260,389711.1428011800,395811.6363912400,401409.08918256700,407063.7300025440,412488.40361944300,417772.24053065300,422441.248291682,425491.5999308620,427218.69614058200,428763.60499725600,431246.44698576100,434385.85922151400,438438.32767797300,443216.3775845310,449330.2100421170,455635.82338651600,462008.6889175370,467311.9402474140,470277.62762273600,470443.8699616460,468810.47867765700,467651.259844335,467166.34477855300,466799.5824893920,468663.84023581800,471245.7697009940,475422.8892905060,478267.9443396830,481873.4189694960
56,11,Virginia,state,,240684.88858031400,241768.51618833400,242291.6184781670,242453.10673473200,242603.25593499800,243014.39829292700,243445.3464204700,243950.42139495600,244610.2957868770,245529.35849201700,246637.35632887800,247786.1220175450,248888.0245777230,249927.14135723600,250853.50952822600,251819.81997622200,252634.82142167300,253399.20893316100,253976.1531795620,254536.72227521100,255189.51914164700,256082.03543219300,257052.06233835400,258063.81756647200,258996.0174438510,259966.26393521300,261144.66893129900,262139.84188257800,263030.48207346400,263481.91496352300,264251.09448384900,265056.1789653040,266017.12340388300,266608.90403635800,267162.2464127020,267652.52713463500,268361.66667177800,269434.6077614850,270882.3021263800,272362.4609776580,273428.6128000900,274211.8904637220,274842.94748749400,275611.5984938600,276408.2900607910,277350.3502519040,278567.9886265370,280044.10814325500,281729.05587371700,283427.38404249700,285038.26702682600,286377.93777014400,287125.69971796100,287661.0197548340,288591.99164240300,290642.3360180100,293952.2631468920,297975.8319052070,302268.8082445000,306343.0066764360,310186.7138615820,314142.6805675330,318189.92049800900,322459.2327597540,326921.979876208,331309.1542009990,334594.5096322340,336288.34142687800,336626.32317841700,337055.9625540690,338397.42301910100,340802.4286094040,344975.602455741,349957.605539733,355697.9495585750,361113.59629821900,365968.2718309770,369977.80940128300,371959.75797004900,372149.689116536,370953.7334816740,370086.7296204590,369773.61516936800,369552.10466505300,369752.7579981490,370234.80610266400,372084.1258579000,374114.10102291900,376985.05671502600
59,12,Washington,state,,306104.79987241100,309548.6742887420,312344.3175606490,314790.7025746830,317173.7106784030,319598.3496308020,321684.7129808640,323566.50579552300,325500.3710066660,327823.6173473110,330619.9815517990,333940.770651083,337493.28058583000,341245.45366869800,344970.7699136300,348643.59515560800,351800.7994067950,354739.98574175500,357383.28988177000,360019.04897682800,362537.4396658630,364939.3097981120,367456.23693836600,370305.26158581900,373638.17108317100,377282.33871260200,381285.8583321110,385046.6629306140,388702.35372088600,391565.4946725820,394727.1639835480,397306.4396385560,399243.0127175320,400186.07491855900,400850.96916635700,401720.3874949180,402681.86789922700,404132.92865810800,406329.09303729000,408708.7699128840,410810.5493189020,412484.5953217040,414012.5357512070,415642.07667422600,417182.19028467100,419318.409730117,422085.6438257500,425531.2011679320,429300.8547828700,433457.75934343000,438136.50209327800,442817.81650396000,445875.74938215100,447633.92331451100,449243.2337056780,453029.9009991210,459418.13213086600,467291.3782416120,475967.36391362200,484326.5158166630,492565.91168264700,500903.98368417500,509742.89619884300,519553.82765517700,530016.8087668670,540086.8160911700,548386.913946818,553411.4490482790,556319.9058624180,558358.6236733310,561539.5383974800,566085.565193423,574645.7669443790,586883.2697140790,602271.4679430700,616795.3478202840,627641.3485505030,632964.3237033280,631302.479588498,624677.9055301440,615902.7974006710,609465.5503951110,605123.8330119040,601166.0179929800,597320.5402298820,594094.6532798870,592951.3965833860,592777.9171453890,594947.9453011460
8,13,Arizona,state,,214143.83555610200,216091.615091918,217604.57459120500,218525.4787246340,219332.12036156500,220248.36880867400,221200.11215671400,222083.8558433830,223252.96096463500,224411.8859039260,225623.43837450900,226753.17596966900,228119.92859783500,229711.93759310800,231444.9753267720,233038.7601427080,234422.8517906530,235816.12887782400,237158.61022153200,238578.0698264960,239990.59763631400,241426.59177902500,242701.92118154300,243974.81637024400,245442.79706341600,247111.4655892520,248831.54647495100,250340.21533385500,251997.16592596100,253706.4547464100,255787.3709309440,257727.54448024600,259558.09372970900,261058.66063738200,262421.9143218650,263620.0172146800,264916.20915557500,266490.3327331440,268025.19156327800,269334.7970638990,270309.05270049,271306.92003907900,272323.11471721400,273560.4010770550,275034.976095034,276781.1842033370,278821.4455229030,280946.69984139900,283486.9457109180,286272.9216862210,289441.9329842710,292347.72198522200,294384.73001407300,295850.1144255350,297488.34362596200,300264.03744425300,304390.25613767700,309203.92666941100,314516.8599625150,319857.8445348310,325271.0043333010,330991.00680244900,337630.47321879700,345307.1228883450,354010.46297468600,363281.93049622600,372350.6319436900,380502.9298855050,387504.31463620700,393897.29257109100,400085.6691233440,405907.02416567500,411970.0419742200,418853.2257161750,427290.6974784330,436739.259238261,446083.92327101900,453926.34238197600,457920.8435772430,457298.02891305000,452564.69830579200,446663.2131662900,440519.2646800340,434239.10169579300,429010.8018732360,425459.2467927440,424194.10383410300,423556.4409622010,423694.3586447730
26,14,Massachusetts,state,,366067.56416041400,368366.67836326800,370066.429015464,371865.8355905900,373861.2402890310,375957.8409689580,377531.97323327400,378640.87831874100,380111.55222978100,382194.5222542520,384974.38515168600,387788.30233243000,390355.7916456300,392588.03874450500,394977.34652214600,397714.6522957460,400524.70945088500,403049.9057814900,405193.97599904700,406937.19339719600,408973.3674250040,410922.801277616,413076.668454405,414969.8841777770,417068.24183897300,419324.4288552340,422023.3831824240,424727.9481712940,427589.21569259000,430078.1274170780,432576.66264523100,434669.58014214600,436489.56306918000,437356.3733965280,437653.07664514200,437322.27023346700,437262.8192083720,437960.7489029890,439397.0448771700,441495.921765378,443037.5816223690,444384.911670602,444979.6379967440,445336.37395066700,445403.31263172100,446213.33116431300,447883.4428950550,449795.4737629000,452187.6735121520,454860.1767707630,458217.25993596200,461220.39932443200,463128.56019682400,464113.5921404790,465249.87855753900,468296.4851967420,473840.2036492950,481116.5381855280,489497.9203096880,497935.8843405220,505726.2474943440,513136.88620160700,520354.24913225700,528028.2587176030,535586.929787152,542306.6783419540,546068.9101125070,546425.6036390610,544596.5932535470,543369.7251656970,543913.3405822180,545891.301583407,551593.9586292330,560897.718814514,573146.182713234,584249.795863933,593489.309899927,600453.1926747880,603805.5219408030,603102.8331498710,599334.2088465720,596297.6446301870,594621.4229803610,593568.0605869840,592756.5323319710,592328.4799212320,593756.9515662230,596135.4828279930,599968.8417236140
53,15,Tennessee,state,,143847.00837609600,144862.24191826500,145579.56396879500,146215.51996612000,146811.009968515,147529.73929337500,148248.10906039700,149150.01536693700,150281.31525358700,151650.85171511200,153176.5715653940,154686.47263252400,155901.66011963700,156703.72319199500,157356.3134806490,158212.18890198100,159178.06466930500,160094.88178990400,160971.87826101600,161959.261099686,163166.19780287900,164470.98802994400,165827.98154673500,167051.29546699100,168198.57425180600,169192.78779511700,170377.27976117000,171413.33856175600,172461.52205308700,173291.94931496900,174377.11713521600,175497.76453725200,176563.64486295700,177288.95576149600,177950.24195272000,178848.89479878700,180296.46041871200,182208.88682981000,184251.7643657970,185941.75787558200,187275.21193789400,188531.65923756800,189757.87194342900,191032.29761227300,192165.63421906900,193470.27033350600,195005.43813927600,196650.0639249920,198481.42867028200,200165.4298301930,201827.45355052500,203272.58490147700,204356.6042629330,205211.2604476680,206078.48974051800,207582.02332018100,210078.86166658600,213091.6002784930,216356.90430406000,219304.1718261520,222268.15901510900,225442.61157429300,228783.0804451850,232390.67042108200,236491.82011483500,241562.476112996,246681.00271419400,250683.62397614600,253428.53095651700,256095.78809605800,259799.11540408000,264149.55019353200,269682.7129257580,276058.83375651700,282578.7450716500,288723.293763656,293659.1454768240,298080.97184167300,300651.7993240810,301574.9474427610,300977.3574792630,299929.8536789620,298794.84162138100,297355.83053625100,297783.17935536100,298876.1254772250,301100.67520289900,301968.5185213430,303297.06625165700
